0_0: gene-MG_RS00005
3_320: gene-E4L58_RS01420
3_321: gene-E4L58_RS01425
3_322: gene-E4L58_RS01430
3_323: gene-E4L58_RS01435
3_324: gene-E4L58_RS01440
3_325: gene-E4L58_RS01445
3_326: gene-E4L58_RS01450
3_327: gene-E4L58_RS01455
3_328: gene-E4L58_RS01460
3_329: gene-E4L58_RS01465
3_330: gene-E4L58_RS01470
3_331: gene-E4L58_RS01475
3_332: gene-E4L58_RS01480
3_333: gene-E4L58_RS01485
3_334: gene-E4L58_RS01490
3_335: gene-E4L58_RS01495
3_336: gene-E4L58_RS01500
3_337: gene-E4L58_RS01505
3_338: gene-E4L58_RS01510
3_339: gene-E4L58_RS01515
3_340: gene-E4L58_RS01520
3_341: gene-E4L58_RS01525
3_342: gene-E4L58_RS01530
3_343: gene-E4L58_RS01540
3_344: gene-E4L58_RS01545
3_345: gene-E4L58_RS01550
3_346: gene-E4L58_RS01555
3_347: gene-E4L58_RS01560
3_348: gene-E4L58_RS01565
3_349: gene-E4L58_RS01570
3_350: gene-E4L58_RS01575
3_351: gene-E4L58_RS04085
3_352: gene-E4L58_RS01580
3_353: gene-E4L58_RS01585
3_354: gene-E4L58_RS01590
3_355: gene-E4L58_RS01595
3_356: gene-E4L58_RS01600
3_357: gene-E4L58_RS01605
3_358: gene-E4L58_RS01610
3_359: gene-E4L58_RS03995
3_360: gene-E4L58_RS04000
3_361: gene-E4L58_RS04005
3_362: gene-E4L58_RS01625
3_363: gene-E4L58_RS01630
3_364: gene-E4L58_RS01635
3_365: gene-E4L58_RS01640
3_366: gene-E4L58_RS01645
3_367: gene-E4L58_RS01650
3_368: gene-E4L58_RS01655
3_369: gene-E4L58_RS01660
3_370: gene-E4L58_RS01665
3_371: gene-E4L58_RS03960
3_372: gene-E4L58_RS01685
3_373: gene-E4L58_RS01690
3_374: gene-E4L58_RS04010
3_375: gene-E4L58_RS04015
3_376: gene-E4L58_RS04020
3_377: gene-E4L58_RS04025
3_378: gene-E4L58_RS01700
3_379: gene-E4L58_RS01705
3_380: gene-E4L58_RS01710
3_381: gene-E4L58_RS01715
3_382: gene-E4L58_RS01720
3_383: gene-E4L58_RS01725
3_384: gene-E4L58_RS01730
3_385: gene-E4L58_RS01735
3_386: gene-E4L58_RS01740
3_387: gene-E4L58_RS01745
3_388: gene-E4L58_RS03965
3_389: gene-E4L58_RS01755
3_390: gene-E4L58_RS01760
3_391: gene-E4L58_RS04030
3_392: gene-E4L58_RS01770
3_393: gene-E4L58_RS01775
3_394: gene-E4L58_RS01780
3_395: gene-E4L58_RS01785
3_396: gene-E4L58_RS01790
3_397: gene-E4L58_RS01795
3_398: gene-E4L58_RS04035
3_399: gene-E4L58_RS01805
3_400: gene-E4L58_RS01810
3_401: gene-E4L58_RS01815
3_402: gene-E4L58_RS01820
3_403: gene-E4L58_RS01825
3_404: gene-E4L58_RS01830
3_405: gene-E4L58_RS01835
3_406: gene-E4L58_RS01840
3_407: gene-E4L58_RS01845
3_408: gene-E4L58_RS01850
3_409: gene-E4L58_RS01855
3_410: gene-E4L58_RS01860
3_411: gene-E4L58_RS01870
3_412: gene-E4L58_RS01875
3_413: gene-E4L58_RS01880
3_414: gene-E4L58_RS01885
3_415: gene-E4L58_RS01890
3_416: gene-E4L58_RS01895
3_417: gene-E4L58_RS01900
3_418: gene-E4L58_RS01905
3_419: gene-E4L58_RS01910
3_420: gene-E4L58_RS04040
3_421: gene-E4L58_RS04045
3_422: gene-E4L58_RS04050
3_423: gene-E4L58_RS04090
3_424: gene-E4L58_RS01920
3_425: gene-E4L58_RS01925
3_426: gene-E4L58_RS01930
3_427: gene-E4L58_RS01935
3_428: gene-E4L58_RS01940
3_429: gene-E4L58_RS01945
3_430: gene-E4L58_RS01950
3_431: gene-E4L58_RS01955
3_432: gene-E4L58_RS01960
3_433: gene-E4L58_RS01965
3_434: gene-E4L58_RS01970
3_435: gene-E4L58_RS01975
3_436: gene-E4L58_RS01980
3_437: gene-E4L58_RS01985
3_438: gene-E4L58_RS01990
3_439: gene-E4L58_RS01995
3_440: gene-E4L58_RS02000
3_441: gene-E4L58_RS02005
3_442: gene-E4L58_RS02010
3_443: gene-E4L58_RS02015
3_444: gene-E4L58_RS02020
3_445: gene-E4L58_RS02025
3_446: gene-E4L58_RS02030
3_447: gene-E4L58_RS02035
3_448: gene-E4L58_RS02040
3_449: gene-E4L58_RS02045
3_450: gene-E4L58_RS02050
3_451: gene-E4L58_RS02055
3_452: gene-E4L58_RS02060
3_453: gene-E4L58_RS02065
3_454: gene-E4L58_RS02070
3_455: gene-E4L58_RS04095
3_456: gene-E4L58_RS02080
3_457: gene-E4L58_RS02085
3_458: gene-E4L58_RS02090
3_459: gene-E4L58_RS02095
3_460: gene-E4L58_RS02100
3_461: gene-E4L58_RS02105
3_462: gene-E4L58_RS02110
3_463: gene-E4L58_RS02115
3_464: gene-E4L58_RS02120
3_465: gene-E4L58_RS02125
3_466: gene-E4L58_RS02130
3_467: gene-E4L58_RS02135
3_468: gene-E4L58_RS02140
3_469: gene-E4L58_RS02145
3_470: gene-E4L58_RS02150
3_471: gene-E4L58_RS02155
3_472: gene-E4L58_RS02160
3_473: gene-E4L58_RS02165
3_474: gene-E4L58_RS02170
3_475: gene-E4L58_RS02175
3_476: gene-E4L58_RS02180
3_477: gene-E4L58_RS02185
3_478: gene-E4L58_RS02190
3_479: gene-E4L58_RS02195
3_480: gene-E4L58_RS02200
3_481: gene-E4L58_RS02210
3_482: gene-E4L58_RS02215
3_483: gene-E4L58_RS02220
3_484: gene-E4L58_RS02225
3_485: gene-E4L58_RS02230
3_486: gene-E4L58_RS02235
3_487: gene-E4L58_RS02240
3_488: gene-E4L58_RS02245
3_489: gene-E4L58_RS02250
3_490: gene-E4L58_RS02255
3_491: gene-E4L58_RS02260
3_492: gene-E4L58_RS02265
3_493: gene-E4L58_RS02270
3_494: gene-E4L58_RS02275
3_495: gene-E4L58_RS02280
3_496: gene-E4L58_RS02285
3_497: gene-E4L58_RS02290
3_498: gene-E4L58_RS02295
3_499: gene-E4L58_RS04055
3_500: gene-E4L58_RS04060
3_501: gene-E4L58_RS02305
3_502: gene-E4L58_RS02310
3_503: gene-E4L58_RS02315
3_504: gene-E4L58_RS02320
3_505: gene-E4L58_RS02325
3_506: gene-E4L58_RS02330
3_507: gene-E4L58_RS02335
3_508: gene-E4L58_RS02340
3_509: gene-E4L58_RS02345
3_510: gene-E4L58_RS02350
3_511: gene-E4L58_RS02355
3_512: gene-E4L58_RS02360
3_513: gene-E4L58_RS02365
3_514: gene-E4L58_RS02370
3_515: gene-E4L58_RS02375
3_516: gene-E4L58_RS02380
3_517: gene-E4L58_RS02385
3_518: gene-E4L58_RS02390
3_519: gene-E4L58_RS02395
3_520: gene-E4L58_RS02400
3_521: gene-E4L58_RS02405
3_522: gene-E4L58_RS02410
3_523: gene-E4L58_RS02415
3_524: gene-E4L58_RS02420
3_525: gene-E4L58_RS02430
3_526: gene-E4L58_RS02435
3_527: gene-E4L58_RS02445
3_528: gene-E4L58_RS02450
3_529: gene-E4L58_RS02455
3_530: gene-E4L58_RS02460
3_531: gene-E4L58_RS02465
3_532: gene-E4L58_RS02470
3_533: gene-E4L58_RS02475
3_534: gene-E4L58_RS02480
3_535: gene-E4L58_RS02485
3_536: gene-E4L58_RS02490
3_537: gene-E4L58_RS02495
3_538: gene-E4L58_RS02500
3_539: gene-E4L58_RS02505
3_540: gene-E4L58_RS02510
3_541: gene-E4L58_RS02515
3_542: gene-E4L58_RS02520
3_543: gene-E4L58_RS02525
3_544: gene-E4L58_RS02530
3_545: gene-E4L58_RS02535
3_546: gene-E4L58_RS02540
3_547: gene-E4L58_RS02545
3_548: gene-E4L58_RS02550
3_549: gene-E4L58_RS02555
3_550: gene-E4L58_RS02560
3_551: gene-E4L58_RS02565
3_552: gene-E4L58_RS02570
3_553: gene-E4L58_RS02575
3_554: gene-E4L58_RS02580
3_555: gene-E4L58_RS02585
3_556: gene-E4L58_RS02590
3_557: gene-E4L58_RS02595
3_558: gene-E4L58_RS02600
3_559: gene-E4L58_RS02605
3_560: gene-E4L58_RS02610
3_561: gene-E4L58_RS02620
3_562: gene-E4L58_RS02625
3_563: gene-E4L58_RS02630
3_564: gene-E4L58_RS02635
3_565: gene-E4L58_RS02640
3_566: gene-E4L58_RS02645
3_567: gene-E4L58_RS02650
3_568: gene-E4L58_RS02655
3_569: gene-E4L58_RS02660
3_570: gene-E4L58_RS02665
3_571: gene-E4L58_RS02670
3_572: gene-E4L58_RS02675
3_573: gene-E4L58_RS02680
3_574: gene-E4L58_RS02685
3_575: gene-E4L58_RS02690
3_576: gene-E4L58_RS02695
3_577: gene-E4L58_RS02700
3_578: gene-E4L58_RS02705
3_579: gene-E4L58_RS02710
3_580: gene-E4L58_RS02715
3_581: gene-E4L58_RS02720
3_582: gene-E4L58_RS02730
3_583: gene-E4L58_RS02735
3_584: gene-E4L58_RS02740
3_585: gene-E4L58_RS02745
3_586: gene-E4L58_RS02750
3_587: gene-E4L58_RS02755
3_588: gene-E4L58_RS02760
3_589: gene-E4L58_RS02765
3_590: gene-E4L58_RS02770
3_591: gene-E4L58_RS02775
3_592: gene-E4L58_RS02780
3_593: gene-E4L58_RS02785
3_594: gene-E4L58_RS02790
3_595: gene-E4L58_RS02795
3_596: gene-E4L58_RS02800
3_597: gene-E4L58_RS02805
3_598: gene-E4L58_RS02810
3_599: gene-E4L58_RS02815
3_600: gene-E4L58_RS02820
3_601: gene-E4L58_RS02825
3_602: gene-E4L58_RS02830
3_603: gene-E4L58_RS02835
3_604: gene-E4L58_RS02840
3_605: gene-E4L58_RS02845
3_606: gene-E4L58_RS02850
3_607: gene-E4L58_RS02855
3_608: gene-E4L58_RS02860
3_609: gene-E4L58_RS02865
3_610: gene-E4L58_RS02870
3_611: gene-E4L58_RS02875
3_612: gene-E4L58_RS02880
3_613: gene-E4L58_RS02885
3_614: gene-E4L58_RS02890
3_615: gene-E4L58_RS02895
3_616: gene-E4L58_RS02900
3_617: gene-E4L58_RS02905
3_618: gene-E4L58_RS02910
3_619: gene-E4L58_RS02915
3_620: gene-E4L58_RS02920
3_621: gene-E4L58_RS02925
3_622: gene-E4L58_RS02930
3_623: gene-E4L58_RS02935
3_624: gene-E4L58_RS02940
3_625: gene-E4L58_RS02945
3_626: gene-E4L58_RS02950
3_627: gene-E4L58_RS02955
3_628: gene-E4L58_RS02960
3_629: gene-E4L58_RS02965
3_630: gene-E4L58_RS02970
3_631: gene-E4L58_RS02975
3_632: gene-E4L58_RS02980
3_633: gene-E4L58_RS02985
3_634: gene-E4L58_RS02990
3_635: gene-E4L58_RS02995
3_636: gene-E4L58_RS03000
3_637: gene-E4L58_RS03005
3_638: gene-E4L58_RS03010
3_639: gene-E4L58_RS03015
3_640: gene-E4L58_RS03020
3_641: gene-E4L58_RS03025
3_642: gene-E4L58_RS03030
3_643: gene-E4L58_RS03035
3_644: gene-E4L58_RS03040
3_645: gene-E4L58_RS03045
3_646: gene-E4L58_RS03050
3_647: gene-E4L58_RS03055
3_648: gene-E4L58_RS03060
3_649: gene-E4L58_RS03065
3_650: gene-E4L58_RS03070
3_651: gene-E4L58_RS03080
3_652: gene-E4L58_RS03085
3_653: gene-E4L58_RS03090
3_654: gene-E4L58_RS03095
3_655: gene-E4L58_RS03100
3_656: gene-E4L58_RS03105
3_657: gene-E4L58_RS03110
3_658: gene-E4L58_RS03115
3_659: gene-E4L58_RS03120
3_660: gene-E4L58_RS03125
3_661: gene-E4L58_RS03130
3_662: gene-E4L58_RS03135
3_663: gene-E4L58_RS03140
3_664: gene-E4L58_RS03145
3_665: gene-E4L58_RS03150
3_666: gene-E4L58_RS03155
3_667: gene-E4L58_RS03160
3_668: gene-E4L58_RS03165
3_669: gene-E4L58_RS03170
3_670: gene-E4L58_RS03175
3_671: gene-E4L58_RS03180
3_672: gene-E4L58_RS03185
3_673: gene-E4L58_RS03190
3_674: gene-E4L58_RS03195
3_675: gene-E4L58_RS03205
3_676: gene-E4L58_RS03210
3_677: gene-E4L58_RS03215
3_678: gene-E4L58_RS03220
3_679: gene-E4L58_RS03225
3_680: gene-E4L58_RS03230
3_681: gene-E4L58_RS03235
3_682: gene-E4L58_RS03240
3_683: gene-E4L58_RS03245
3_684: gene-E4L58_RS03250
3_685: gene-E4L58_RS03255
3_686: gene-E4L58_RS03260
3_687: gene-E4L58_RS03265
3_688: gene-E4L58_RS03270
3_689: gene-E4L58_RS03275
3_690: gene-E4L58_RS03280
3_691: gene-E4L58_RS03285
3_692: gene-E4L58_RS03290
3_693: gene-E4L58_RS03295
3_694: gene-E4L58_RS03300
3_695: gene-E4L58_RS03305
3_696: gene-E4L58_RS03310
3_697: gene-E4L58_RS03315
3_698: gene-E4L58_RS03320
3_699: gene-E4L58_RS03325
3_700: gene-E4L58_RS03330
3_701: gene-E4L58_RS03335
3_702: gene-E4L58_RS03340
3_703: gene-E4L58_RS03345
3_704: gene-E4L58_RS03350
3_705: gene-E4L58_RS03355
3_706: gene-E4L58_RS03360
3_707: gene-E4L58_RS03365
3_708: gene-E4L58_RS03370
3_709: gene-E4L58_RS03380
3_710: gene-E4L58_RS03385
3_711: gene-E4L58_RS03390
3_712: gene-E4L58_RS03970
3_713: gene-E4L58_RS03395
3_714: gene-E4L58_RS03400
3_715: gene-E4L58_RS03405
3_716: gene-E4L58_RS03410
3_717: gene-E4L58_RS03415
3_718: gene-E4L58_RS03420
3_719: gene-E4L58_RS03425
3_720: gene-E4L58_RS03430
3_721: gene-E4L58_RS03435
3_722: gene-E4L58_RS03440
3_723: gene-E4L58_RS03445
3_724: gene-E4L58_RS03450
3_725: gene-E4L58_RS03455
3_726: gene-E4L58_RS03460
3_727: gene-E4L58_RS03465
3_728: gene-E4L58_RS03470
3_729: gene-E4L58_RS03475
3_730: gene-E4L58_RS03480
3_731: gene-E4L58_RS03485
3_732: gene-E4L58_RS03490
3_733: gene-E4L58_RS03495
3_734: gene-E4L58_RS03500
3_735: gene-E4L58_RS03505
3_736: gene-E4L58_RS03510
3_737: gene-E4L58_RS03515
3_738: gene-E4L58_RS03520
3_739: gene-E4L58_RS03525
3_740: gene-E4L58_RS03530
3_741: gene-E4L58_RS03535
3_742: gene-E4L58_RS03540
3_743: gene-E4L58_RS03545
3_744: gene-E4L58_RS03550
3_745: gene-E4L58_RS03555
3_746: gene-E4L58_RS03560
3_747: gene-E4L58_RS03565
3_748: gene-E4L58_RS03570
3_749: gene-E4L58_RS04070
3_750: gene-E4L58_RS04100
3_751: gene-E4L58_RS03580
3_752: gene-E4L58_RS03585
3_753: gene-E4L58_RS03590
3_754: gene-E4L58_RS04105
3_755: gene-E4L58_RS03595
